Week, Joe Biden:
2020-09-06,5
2020-09-13,6
2020-09-20,5
2020-09-27,19
2020-10-04,10
2020-10-11,9
2020-10-18,12
2020-10-25,11
2020-11-01,100
2020-11-08,48
2020-11-15,8
2020-11-22,6
2020-11-29,5
2020-12-06,4
2020-12-13,4
2020-12-20,4
2020-12-27,3
2021-01-03,7
2021-01-10,6
2021-01-17,37
2021-01-24,9
2021-01-31,5
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,3
2021-03-07,3
2021-03-14,5
2021-03-21,5
2021-03-28,3
2021-04-04,3
2021-04-11,2
2021-04-18,2
2021-04-25,3
2021-05-02,2
2021-05-09,3
2021-05-16,2
2021-05-23,2
2021-05-30,2
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,2
2021-07-18,2
2021-07-25,2
2021-08-01,2
2021-08-08,2
2021-08-15,5
2021-08-22,5
2021-08-29,5
